tenure,age,address,income,ed,employ,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,cardten,voice,pager,internet,callwait,confer,ebill,loglong,logtoll,lninc,custcat,churn
11,33,7,136,5,5,0,1,1,4.4,20.75,0,15.25,35.7,42,211.45,125,1,1,0,1,1,0,1.482,3.033,4.913,4,1
33,33,12,33,2,0,0,0,0,9.45,0,0,0,0,288.8,0,0,0,0,0,0,0,0,2.246,3.24,3.497,1,1
23,30,9,30,1,2,0,0,0,6.3,0,0,0,0,157.05,0,0,0,0,0,0,1,0,1.841,3.24,3.401,3,0
38,35,5,76,2,10,1,1,1,6.05,45,50.1,23.25,64.9,239.55,1873.05,880,1,1,1,1,1,1,1.8,3.807,4.331,4,0
7,35,14,80,2,15,0,1,0,7.1,22,0,23.75,0,47.45,166.1,145,1,0,0,1,1,0,1.96,3.091,4.382,3,0
68,52,17,120,1,24,0,1,0,20.7,0,0,22,0,1391.05,0,1505,0,0,0,0,0,0,3.03,3.24,4.787,1,0
42,40,7,37,2,8,1,1,1,8.25,23.5,36.9,28,37.4,399.15,950.65,1190,1,0,1,1,1,1,2.11,3.157,3.611,4,0
9,21,1,17,2,2,0,0,0,2.9,0,0,0,0,25.25,0,0,0,0,0,0,0,0,1.065,3.24,2.833,1,0
35,50,26,140,2,21,0,1,0,6.5,27.5,0,35,0,247.55,1068.25,1215,0,0,0,1,1,0,1.872,3.314,4.942,3,0
49,51,27,63,4,19,0,1,0,12.85,25.75,0,14.25,0,585.6,1278.45,635,0,0,1,1,0,1,2.553,3.248,4.143,2,0
56,52,28,49,2,12,0,1,0,24.75,0,0,22.25,0,1349.05,0,1215,0,0,0,0,0,0,3.209,3.24,3.892,2,0
47,40,16,127,4,12,1,1,0,19.7,0,28.15,14.75,0,909.9,0,680,0,0,1,0,0,1,2.981,3.24,4.844,2,0
56,50,1,80,2,24,0,1,1,28.8,55.5,0,21.25,61.1,1558.1,3119.45,1065,1,1,0,1,1,0,3.36,4.016,4.382,4,0
69,51,11,438,4,23,1,1,0,29,0,47.05,24.75,0,1815.4,0,1655,0,1,1,0,1,0,3.367,3.24,6.082,4,0
16,27,5,37,3,5,0,0,0,6,0,0,0,0,80.7,0,0,0,0,0,0,0,0,1.792,3.24,3.611,1,0
4,35,16,161,5,6,1,0,1,3.4,23.75,49.8,0,35.75,10.35,103.1,0,1,1,1,1,1,1,1.224,3.168,5.081,4,1
27,51,3,80,5,11,1,0,0,7.1,0,39.4,0,0,176.2,0,0,0,1,1,0,0,1,1.96,3.24,4.382,2,0
52,61,3,53,5,1,1,1,1,12.25,0,38.4,8.75,35.95,631.7,0,465,1,0,1,0,1,1,2.506,3.24,3.97,2,0
64,25,4,76,3,2,1,1,0,24.05,0,35.4,21.25,0,1536.55,0,1400,0,0,0,0,1,1,3.18,3.24,4.331,3,0
12,24,2,19,1,0,0,1,0,4,24.75,0,27.25,0,46,299,295,0,0,0,1,1,0,1.386,3.209,2.944,3,1
35,61,23,41,2,11,0,1,0,9.6,0,0,9.5,0,353.55,0,295,0,0,0,0,0,0,2.262,3.24,3.714,1,0
13,54,2,31,4,2,0,0,0,5.85,0,0,0,0,97,0,0,1,0,1,0,0,1,1.766,3.24,3.434,1,0
45,22,2,36,4,0,1,0,0,9.95,14.75,26.15,0,0,412.1,663.1,0,0,0,0,0,0,0,2.298,2.691,3.584,2,1
3,37,13,24,1,3,0,0,0,2,0,0,0,0,3.05,0,0,1,0,0,0,1,1,0.693,3.24,3.178,1,0
53,22,1,25,4,0,1,1,0,12.05,0,27.15,6.5,0,666,0,335,0,0,1,0,0,1,2.489,3.24,3.219,2,0
17,42,6,131,5,6,1,0,1,5.8,0,35.35,0,21.65,103.1,0,0,0,0,1,0,0,1,1.758,3.24,4.875,2,1
59,43,4,101,2,22,0,1,0,13.65,0,0,20.75,0,817.65,0,1195,0,0,0,0,1,0,2.614,3.24,4.615,2,0
57,37,11,108,4,9,1,1,0,21.8,27.25,42,8,0,1292,1492.1,425,0,0,1,1,1,0,3.082,3.305,4.682,3,0
3,24,2,20,2,3,0,1,0,3.35,22.5,0,9.25,0,7.55,49.55,15,1,0,1,1,1,0,1.209,3.114,2.996,3,0
4,47,5,123,4,11,1,1,0,2.5,0,25.3,13.75,0,9.25,0,40,0,0,1,0,0,1,0.916,3.24,4.812,1,0
29,26,7,34,1,7,0,1,0,6.5,0,0,16,0,198.7,0,490,0,0,0,1,0,0,1.872,3.24,3.526,3,0
64,55,28,104,1,26,0,1,0,15,0,0,39.25,0,960.95,0,2360,0,0,0,0,1,0,2.708,3.24,4.644,3,0
22,34,1,46,3,1,1,0,0,7.1,0,23.4,0,0,125.05,0,0,0,0,1,0,0,0,1.96,3.24,3.829,2,0
33,54,18,57,4,4,1,0,0,7.5,30.25,33.9,0,0,226.25,1105.75,0,0,0,1,1,0,0,2.015,3.409,4.043,3,1
18,69,11,58,3,8,1,1,1,6.35,27.25,53.95,11.75,63,118.05,454.05,175,1,1,1,1,1,1,1.848,3.305,4.06,4,0
65,65,27,128,3,24,0,1,0,21.2,24,0,14.5,0,1325.05,1483.55,940,0,0,0,1,1,0,3.054,3.178,4.852,3,0
39,24,2,26,2,4,0,1,0,10.4,0,0,12.5,0,403.5,0,480,0,0,0,0,0,1,2.342,3.24,3.258,1,1
28,29,4,23,3,5,0,0,0,3.7,0,0,0,0,91.95,0,0,0,0,1,0,1,1,1.308,3.24,3.135,2,0
46,42,9,52,4,7,0,1,0,14.25,0,0,21,0,611.65,0,985,0,0,0,0,0,0,2.657,3.24,3.951,2,0
43,43,3,55,4,18,1,1,1,9.1,40.75,48.4,16,50.6,422.7,1802.5,675,1,1,1,1,1,0,2.208,3.707,4.007,4,0
21,29,7,40,4,2,1,1,1,4.5,17,36.2,19.25,33.4,89.1,386.8,395,0,0,1,1,0,0,1.504,2.833,3.689,1,0
53,57,25,37,1,7,0,1,0,7.7,0,0,9.25,0,363.95,0,465,0,0,0,0,0,0,2.041,3.24,3.611,2,0
50,52,17,36,4,16,0,1,1,11.95,55,0,48,85.85,616.25,2662.1,2330,1,1,0,1,1,1,2.481,4.007,3.584,4,0
43,21,1,25,1,4,0,0,0,7.6,0,0,0,0,334.45,0,0,0,0,1,0,1,0,2.028,3.24,3.219,2,1
33,33,12,42,4,7,1,1,1,8.8,0,30.95,23,23.35,305.75,0,730,1,0,0,0,0,0,2.175,3.24,3.738,2,0
45,66,43,144,2,13,0,1,0,7.75,0,0,13,0,338.8,0,565,0,0,1,0,0,0,2.048,3.24,4.97,2,0
28,57,33,82,4,22,1,0,0,4.05,0,31.45,0,0,71.5,0,0,1,0,1,0,0,1,1.399,3.24,4.407,2,1
37,33,1,102,2,12,1,1,1,16.3,0,33.35,10.25,37.9,646.7,0,360,0,1,1,1,0,1,2.791,3.24,4.625,4,0
71,56,23,170,1,30,0,1,0,14.2,27,0,30,0,1001.2,1840.65,2140,1,1,0,1,1,0,2.653,3.296,5.136,4,0
58,58,10,96,2,17,0,0,0,12.5,23,0,0,0,710.8,1345.95,0,0,0,0,1,1,0,2.526,3.135,4.564,3,0
36,58,34,80,1,21,0,1,0,8.5,0,0,8.5,0,298.25,0,260,0,0,0,1,0,0,2.14,3.24,4.382,2,0
26,39,15,58,4,9,0,1,1,8.65,21.25,0,6.5,19.65,210.6,567.55,145,0,0,1,0,1,0,2.158,3.056,4.06,3,0
13,43,1,123,3,21,1,1,0,3.85,23,33.05,6.75,0,55.05,317.5,75,0,1,1,1,0,1,1.348,3.135,4.812,4,0
28,40,7,64,1,19,0,0,0,6,27.5,0,0,0,167.65,722.5,0,0,0,0,0,1,0,1.792,3.314,4.159,3,0
1,21,1,18,3,0,1,0,0,2.7,0,32.7,0,0,2.7,0,0,0,0,1,0,1,1,0.993,3.24,2.89,1,1
15,35,5,34,3,8,1,0,0,5.15,0,25.55,0,0,110.55,0,0,0,0,1,0,0,1,1.639,3.24,3.526,2,1
12,64,13,9,2,6,1,1,0,3.8,30,32.8,8.5,0,52.85,317.75,95,0,0,1,1,1,1,1.335,3.401,2.197,3,0
5,30,3,46,4,7,1,0,0,4.3,0,32.1,0,0,17.55,0,0,0,0,1,0,0,1,1.459,3.24,3.829,2,1
32,27,3,91,4,1,1,1,1,5.5,16,42.65,3.75,41.3,189.05,543.15,100,1,1,1,0,1,1,1.705,2.773,4.511,4,1
14,36,13,67,5,4,1,0,0,14.05,0,25.1,0,0,187.4,0,0,0,0,1,1,0,0,2.643,3.24,4.205,1,0
67,60,32,93,1,21,1,1,0,18.85,0,32,42.75,0,1200.7,0,2665,0,0,0,0,0,1,2.937,3.24,4.533,2,0
60,45,23,117,4,11,1,1,1,12.4,28,51.7,19.5,52.9,755.7,1721.25,1135,1,1,1,1,1,1,2.518,3.332,4.762,4,0
70,55,12,65,3,24,0,1,0,26.7,42.75,0,20.5,0,1874.25,2921.35,1465,1,0,0,1,1,0,3.285,3.755,4.174,3,0
6,24,2,28,1,5,0,1,0,4.4,9,0,28.25,0,35.1,57.8,155,0,0,0,1,1,0,1.482,2.197,3.332,3,1
38,33,3,38,4,0,1,1,0,10.95,0,27.2,12.25,0,412.8,0,465,0,0,1,0,0,1,2.393,3.24,3.638,2,0
53,35,15,59,3,5,0,1,0,16.85,23.25,0,18.5,0,888.45,1250.7,995,0,1,0,1,0,0,2.824,3.146,4.078,3,0
37,76,38,117,4,21,0,1,0,7.5,0,0,6.25,0,273.7,0,230,0,0,0,0,0,0,2.015,3.24,4.762,1,0
61,45,21,80,2,13,0,1,0,18.1,0,0,35.25,0,1114.75,0,2200,0,0,0,0,0,0,2.896,3.24,4.382,2,0
20,31,10,39,2,3,0,0,0,7.75,0,0,0,0,148.75,0,0,0,0,0,0,0,0,2.048,3.24,3.664,1,0
72,60,33,12,1,20,0,1,1,53.75,68.5,0,10.25,43.95,3776.1,4938.6,780,1,1,0,1,1,0,3.984,4.227,2.485,4,0
61,43,6,34,5,6,1,1,1,25.05,39,56.8,32.75,51,1541.9,2536.1,1980,1,1,1,1,1,1,3.221,3.664,3.526,4,1
54,27,3,27,2,6,1,1,1,12.4,35,48.3,5.75,43.5,660.85,1919.75,315,1,1,1,1,1,1,2.518,3.555,3.296,4,0
28,36,3,42,3,7,0,1,0,12.9,28.25,0,14,0,363.65,820.15,370,0,0,1,1,1,0,2.557,3.341,3.738,3,0
52,42,17,27,3,8,0,1,0,19.65,31,0,19.75,0,1008.8,1661.3,1050,0,0,1,1,1,0,2.978,3.434,3.296,3,0
43,27,3,21,2,1,0,1,0,12.65,0,0,16.5,0,558.85,0,760,0,0,0,0,0,0,2.538,3.24,3.045,2,0
46,45,12,96,3,17,1,1,0,10.95,0,24.5,9.75,0,504.3,0,410,0,0,1,0,0,1,2.393,3.24,4.564,2,0
39,59,20,1668,4,27,0,0,0,8.2,15,0,0,0,303.95,595.6,0,1,0,1,1,0,0,2.104,2.708,7.419,2,0
10,34,1,52,5,3,1,0,1,4.3,0,32.55,0,25.4,47.45,0,0,0,0,1,0,0,1,1.459,3.24,3.951,2,1
69,46,18,66,2,19,0,1,0,21.85,0,0,46.5,0,1589.1,0,3265,0,0,0,0,0,0,3.084,3.24,4.19,2,0
45,30,0,63,5,4,1,1,1,7.1,40.75,39.75,16.5,50.85,314.8,1849.5,775,1,1,1,1,1,1,1.96,3.707,4.143,4,1
52,62,23,36,4,17,0,1,0,13.35,18.5,0,18.5,0,709.25,978.85,915,0,0,0,0,1,0,2.592,2.918,3.584,1,0
42,36,14,44,2,11,0,0,1,7,26.5,0,0,26.1,321.95,1161.3,0,0,1,0,1,1,0,1.946,3.277,3.784,3,0
5,44,5,83,1,16,1,0,0,4.65,0,25.25,0,0,12.3,0,0,0,0,0,1,0,0,1.537,3.24,4.419,2,1
10,33,2,66,3,9,0,1,0,7.1,21.25,0,25.25,0,59.3,241.8,220,0,0,1,0,0,0,1.96,3.056,4.19,1,1
26,30,9,18,4,1,0,1,0,7.25,25.5,0,32.5,0,171.85,688.35,840,1,1,0,1,1,0,1.981,3.239,2.89,4,1
25,30,0,20,1,4,0,1,0,8.55,21.75,0,15.5,0,215.95,522.15,370,0,0,0,1,1,0,2.146,3.08,2.996,3,0
30,23,4,19,3,1,1,1,0,7.9,0,35.2,27.5,0,253.05,0,840,0,0,1,0,0,1,2.067,3.24,2.944,2,0
65,59,27,197,4,26,1,1,0,45.4,0,25.75,46.75,0,2973.55,0,3065,0,1,0,0,0,1,3.816,3.24,5.283,2,0
5,32,6,33,4,3,1,0,0,3.2,0,21.6,0,0,24.55,0,0,0,0,1,0,0,1,1.163,3.24,3.497,1,1
7,23,3,27,2,1,0,1,0,3.65,9.5,0,7,0,21,76.05,55,0,0,0,1,0,0,1.295,2.251,3.296,1,0
25,29,9,55,4,1,0,0,0,5.25,24.75,0,0,0,147.95,612.45,0,0,0,0,0,0,1,1.658,3.209,4.007,1,1
8,22,3,25,4,0,0,1,1,8,32.25,0,18.25,19.45,61.55,264,155,1,0,0,1,1,0,2.079,3.474,3.219,3,0
39,47,1,68,4,10,0,0,0,8.3,0,0,0,0,308.55,0,0,0,0,1,0,0,1,2.116,3.24,4.22,2,1
28,36,3,69,3,2,1,1,1,6.05,25.25,41.55,31.75,36.6,153.05,697.05,835,1,1,0,1,1,1,1.8,3.229,4.234,4,0
55,52,22,127,1,28,0,1,0,7.05,0,0,20.25,0,400.55,0,1150,1,0,0,0,0,1,1.953,3.24,4.844,2,0
11,63,9,41,3,3,1,0,0,4.15,0,29.9,0,0,46.35,0,0,0,0,1,0,0,1,1.423,3.24,3.714,1,1
51,48,27,58,1,18,0,1,0,19.2,25.75,0,9.25,0,964.85,1320.05,390,0,0,0,0,1,0,2.955,3.248,4.06,3,1
25,62,27,28,4,33,1,1,1,8.3,14.75,52,18,47,160.4,359.25,430,1,1,0,1,1,1,2.116,2.691,3.332,4,1
62,76,20,35,3,18,0,1,0,17.25,0,0,17.75,0,1045.7,0,1085,0,0,0,0,0,1,2.848,3.24,3.555,2,0
