tenure,age,address,income,ed,employ,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,cardten,voice,pager,internet,callwait,confer,ebill,loglong,logtoll,lninc,custcat,churn
53,33,1,60,1,6,0,1,1,17.65,28.5,0,41,28.55,950.7,1502.2,2170,1,1,0,1,1,0,2.871,3.35,4.094,4,0
1,30,3,135,4,3,1,1,0,1.1,5.75,22.8,2.75,0,1.1,5.75,2.75,0,0,1,0,0,1,0.095,1.749,4.905,1,1
20,32,10,19,3,5,1,0,0,6.85,0,36.05,0,0,106.5,0,0,0,0,1,0,0,1,1.924,3.24,2.944,2,0
34,63,10,23,2,0,1,1,1,14.3,19.5,39.6,15.25,28.95,459.05,616.5,495,1,1,1,1,1,1,2.66,2.97,3.135,4,0
44,45,19,88,1,21,0,1,0,11.9,25.25,0,8.25,0,524.25,1108.4,305,0,0,0,1,1,0,2.477,3.229,4.477,3,0
12,23,2,24,4,0,0,1,1,3.2,41,0,15.75,35.4,35.5,502,210,1,1,1,1,1,0,1.163,3.714,3.178,4,0
39,34,4,20,5,3,1,1,1,9.55,21.25,59.2,10,79.2,375.4,872.5,385,1,1,1,1,1,1,2.257,3.056,2.996,4,0
19,26,2,48,3,0,0,1,0,7.55,0,0,6.5,0,156.15,0,105,1,0,0,1,0,0,2.022,3.24,3.871,3,0
7,27,3,39,3,2,0,0,0,3.55,0,0,0,0,19.7,0,0,0,0,0,0,0,0,1.267,3.24,3.664,1,1
32,34,0,38,1,10,0,1,0,7.35,0,0,19.25,0,217.45,0,600,0,0,0,0,0,1,1.995,3.24,3.638,2,0
35,34,7,78,4,10,0,1,0,13.9,0,0,4.5,0,556.2,0,135,0,0,0,0,0,0,2.632,3.24,4.357,1,0
56,42,10,24,2,5,0,0,0,33.65,0,0,0,0,1871.2,0,0,0,0,0,1,1,0,3.516,3.24,3.178,3,0
5,47,7,46,1,6,0,1,0,2.95,0,0,7.25,0,21.55,0,35,0,0,0,0,0,0,1.082,3.24,3.829,1,1
16,50,5,263,2,29,1,0,1,3.75,17,31.95,0,21.9,59.75,253.35,0,0,0,0,1,1,1,1.322,2.833,5.572,3,0
17,42,6,31,2,2,0,0,1,8.25,24.5,0,0,26.4,140.85,404.8,0,1,0,0,1,1,1,2.11,3.199,3.434,4,1
9,24,3,26,4,1,1,0,0,7.65,0,23.25,0,0,75.25,0,0,0,0,0,0,0,0,2.035,3.24,3.258,1,0
9,41,12,39,4,3,1,0,1,4.7,0,39.65,0,20.8,26.3,0,0,1,1,1,0,0,1,1.548,3.24,3.664,1,1
71,41,10,73,2,23,0,1,0,32.65,0,0,41.75,0,2412.6,0,3085,0,0,0,1,0,0,3.486,3.24,4.29,3,0
11,26,2,53,3,3,1,1,1,4.15,21.5,43.7,11.75,38.8,34.7,188.35,110,1,1,1,1,0,1,1.423,3.068,3.97,4,1
23,50,1,151,4,8,0,0,0,8.25,21.75,0,0,0,186.5,438.4,0,0,0,0,0,0,0,2.11,3.08,5.017,1,0
24,58,30,24,1,5,0,0,0,7.65,16,0,0,0,177.4,420.65,0,0,0,0,0,0,0,2.035,2.773,3.178,1,0
4,24,1,17,2,2,0,0,0,3.2,0,0,0,0,9.9,0,0,0,0,0,0,0,0,1.163,3.24,2.833,1,1
10,28,9,75,4,1,1,1,1,6.2,27.5,42.4,40,36.3,45.95,225.85,340,1,1,1,1,1,1,1.825,3.314,4.317,4,1
24,35,10,41,5,6,1,0,0,3.3,0,30.3,0,0,88.65,0,0,0,0,1,0,0,1,1.194,3.24,3.714,2,0
12,31,8,18,4,4,1,0,0,3.7,0,24.3,0,0,48.55,0,0,0,0,1,0,0,1,1.308,3.24,2.89,1,1
59,55,29,42,3,21,0,1,0,8.95,0,0,15.25,0,492.35,0,855,0,0,0,0,0,0,2.192,3.24,3.738,2,0
72,75,48,14,2,6,0,1,0,37.3,0,0,109.25,0,2686.25,0,7515,0,0,0,0,0,0,3.619,3.24,2.639,2,0
67,40,14,59,3,11,0,1,0,27,30,0,19.75,0,1722.5,1959.95,1245,0,0,0,1,1,0,3.296,3.401,4.078,3,0
10,40,6,22,3,6,0,0,0,5.05,0,0,0,0,59.95,0,0,0,0,1,0,0,0,1.619,3.24,3.091,1,1
30,28,1,20,1,8,0,0,0,12.4,0,0,0,0,369.45,0,0,0,0,0,0,0,0,2.518,3.24,2.996,1,1
24,46,12,43,2,6,0,1,1,12.05,48.25,0,33,28.15,307.75,1079.05,820,1,1,0,1,1,1,2.489,3.876,3.761,4,0
72,75,37,33,1,44,0,1,0,49.3,31.75,0,26,0,3417.4,2254.15,1835,0,0,0,0,1,0,3.898,3.458,3.497,2,0
26,43,23,51,5,4,1,0,0,7.9,0,21.95,0,0,267.6,0,0,0,0,1,0,0,0,2.067,3.24,3.932,2,1
36,45,22,117,3,15,0,0,0,10.5,0,0,0,0,429.1,0,0,0,0,0,0,0,1,2.351,3.24,4.762,2,0
16,54,20,147,1,29,0,1,0,6.95,23.25,0,6.5,0,98.5,357.95,90,0,0,0,1,1,0,1.939,3.146,4.99,3,0
54,42,0,55,4,2,1,1,1,14.3,55.5,62.15,19.25,83.7,695.2,3086.35,1050,1,1,1,1,1,1,2.66,4.016,4.007,4,1
72,62,35,163,5,31,1,1,1,28.35,32.75,45.15,39.75,56.55,2017.6,2276.3,2845,1,1,1,1,1,0,3.345,3.489,5.094,4,0
19,32,12,71,4,5,1,1,1,5.25,21.5,62.4,17,47.8,97.4,419.25,275,1,1,1,1,1,1,1.658,3.068,4.263,4,1
18,25,4,26,2,7,0,1,0,3.3,27.5,0,31,0,50.35,531.1,540,0,0,0,0,1,0,1.194,3.314,3.258,1,0
45,34,14,43,4,0,1,0,0,6.55,0,32.35,0,0,315.2,0,0,0,0,1,0,0,1,1.879,3.24,3.761,2,1
17,41,9,28,4,3,0,1,0,1.8,0,0,10,0,27.1,0,140,0,0,0,1,0,0,0.588,3.24,3.332,1,0
8,42,2,129,4,17,0,0,0,6.1,0,0,0,0,63.8,0,0,0,0,1,0,1,1,1.808,3.24,4.86,1,0
66,62,31,47,2,4,0,1,0,34.25,21,0,20,0,2298.25,1425.35,1355,0,0,0,0,0,0,3.534,3.045,3.85,2,0
60,57,18,72,5,30,1,1,1,20.35,29,50.25,20.5,55.9,1263.9,1806.85,1140,1,1,1,1,1,1,3.013,3.367,4.277,4,0
63,37,1,45,4,9,1,1,0,14.95,0,39.25,13.5,0,974.15,0,820,1,0,1,0,0,1,2.705,3.24,3.807,2,0
45,27,3,39,3,2,0,0,0,13.45,0,0,0,0,583.9,0,0,0,0,0,0,0,0,2.599,3.24,3.664,2,0
68,42,16,89,4,12,1,1,0,25.6,0,33,16,0,1759.6,0,1020,0,0,1,0,0,1,3.243,3.24,4.489,2,0
6,29,4,19,2,5,0,0,0,4.2,0,0,0,0,25.25,0,0,0,0,0,0,0,0,1.435,3.24,2.944,1,0
70,35,4,48,2,9,0,1,0,43.6,0,0,30,0,3040.8,0,2020,0,0,0,0,1,0,3.775,3.24,3.871,2,0
24,25,3,28,4,0,1,1,1,10.6,0,40.4,25.25,23.4,267.3,0,530,0,1,1,0,0,1,2.361,3.24,3.332,2,0
19,35,7,58,3,5,1,1,1,3.65,37,40.3,21.25,43.05,65.15,690.85,385,1,1,1,1,1,0,1.295,3.611,4.06,4,1
5,43,16,72,3,17,0,1,0,5.55,15.75,0,6.5,0,23.9,62.25,25,0,0,0,1,1,0,1.714,2.757,4.277,3,0
14,40,13,398,5,11,1,1,1,6.4,18,43.1,23.75,47.7,71,259,295,1,1,1,1,1,1,1.856,2.89,5.986,4,1
17,39,12,45,4,10,1,0,0,8.65,0,28.95,0,0,133.1,0,0,0,0,0,0,0,1,2.158,3.24,3.807,1,1
59,32,9,73,4,5,0,1,0,29.2,21.5,0,12.75,0,1726.6,1231.9,655,0,0,0,1,0,1,3.374,3.068,4.29,2,1
60,53,22,171,1,37,0,1,0,9.9,31.75,0,18,0,608.65,1972.1,1070,0,0,0,1,1,0,2.293,3.458,5.142,3,0
53,37,7,25,1,2,0,1,0,5.4,52,0,34,0,291.5,2794.95,1660,0,0,0,1,1,0,1.686,3.951,3.219,3,0
14,26,1,25,2,0,0,0,0,4.4,0,0,0,0,71.2,0,0,0,0,0,0,0,0,1.482,3.24,3.219,3,0
17,19,0,18,2,0,1,0,0,7.1,0,24.95,0,0,120.35,0,0,0,0,1,0,0,1,1.96,3.24,2.89,2,1
69,42,23,19,3,0,1,1,0,25.95,0,36.9,18.75,0,1812.15,0,1270,0,0,1,0,0,1,3.256,3.24,2.944,1,0
10,20,1,20,2,0,0,0,0,5.9,0,0,0,0,48.95,0,0,0,0,0,0,0,0,1.775,3.24,2.996,1,1
21,43,13,41,2,1,1,1,1,6.15,23.75,45.4,12.25,37.25,118.15,497.15,195,1,1,1,1,1,1,1.816,3.168,3.714,4,1
64,37,10,44,4,9,1,1,0,16.15,0,35.05,22,0,965.3,0,1350,1,0,0,0,0,1,2.782,3.24,3.784,2,0
60,56,19,51,4,11,1,1,1,15.25,0,57.45,28.5,67,873.7,0,1630,1,1,1,1,1,1,2.725,3.24,3.932,4,0
58,37,5,64,4,8,1,1,1,10.8,58.75,63.25,37.75,109.7,634.75,3525.55,2305,1,1,1,1,1,1,2.38,4.073,4.159,4,1
72,61,34,61,1,8,0,1,0,27.35,0,0,13.25,0,1980.15,0,895,0,0,0,0,0,0,3.309,3.24,4.111,2,0
18,34,4,42,2,14,0,1,0,6.45,19,0,17,0,104.05,318.75,240,1,1,0,1,1,0,1.864,2.944,3.738,4,0
70,36,8,50,1,15,0,1,0,20.55,0,0,20.75,0,1407.15,0,1370,0,0,0,0,0,0,3.023,3.24,3.912,2,0
7,38,4,70,4,4,1,1,1,3.85,19.25,38.35,7,17.7,26.65,127.5,40,1,1,1,1,0,1,1.348,2.958,4.248,4,1
71,53,29,48,4,0,0,1,0,34.95,28.75,0,36,0,2506.05,2074.75,2560,0,0,0,1,1,0,3.554,3.359,3.871,3,0
31,46,23,144,4,13,0,1,0,7.6,15.25,0,9.75,0,271.55,501.15,290,0,0,1,1,0,1,2.028,2.725,4.97,3,0
16,49,17,41,2,5,1,0,1,4.1,14,39.15,0,31.8,62.45,260.05,0,1,1,1,0,0,0,1.411,2.639,3.714,4,0
59,26,3,41,4,1,1,1,1,12.65,0,35.1,46.75,29.15,804,0,2710,0,0,1,0,0,0,2.538,3.24,3.714,2,1
9,40,13,38,4,7,1,1,1,3.35,21,42.4,17.5,59.55,37.7,179.8,125,1,1,1,1,1,1,1.209,3.045,3.638,4,1
12,55,13,36,1,5,1,0,0,5.95,0,26.55,0,0,73.35,0,0,0,0,1,0,0,0,1.783,3.24,3.584,2,1
3,32,4,58,2,11,1,1,1,2.75,15.75,29.5,9.25,28.55,5.7,49.65,15,1,1,0,0,0,1,1.012,2.757,4.06,4,1
52,39,6,119,3,18,0,1,0,10.5,25,0,8.25,0,556.5,1280.9,450,0,1,0,0,0,1,2.351,3.219,4.779,1,0
18,69,28,11,1,17,0,0,0,3.85,0,0,0,0,62.75,0,0,0,0,0,0,0,0,1.348,3.24,2.398,1,0
43,29,4,33,1,13,0,1,1,22.05,18.75,0,7.5,24.95,1042.95,830.75,345,0,0,0,1,1,0,3.093,2.931,3.497,3,0
37,33,4,41,3,8,1,0,0,9.2,0,30.45,0,0,347.1,0,0,0,0,0,0,0,1,2.219,3.24,3.714,2,1
51,46,8,107,2,21,0,1,1,17.3,25.75,0,23,37.4,840,1396.75,1155,0,1,0,1,1,0,2.851,3.248,4.673,3,0
56,53,23,100,5,14,1,1,0,14.15,0,34.2,9.5,0,752.9,0,560,1,0,1,0,0,1,2.65,3.24,4.605,2,0
72,55,24,82,3,25,1,1,0,62.3,0,35.65,65.25,0,4333,0,4915,0,0,0,1,0,1,4.132,3.24,4.407,2,0
32,44,10,201,2,24,0,1,0,7.65,28,0,18.5,0,237.85,895.05,595,0,1,0,1,1,0,2.035,3.332,5.303,3,0
51,49,29,45,1,16,0,1,0,15.7,0,0,8.5,0,815.05,0,400,0,0,0,1,0,0,2.754,3.24,3.807,1,0
26,55,13,61,1,26,0,1,0,4.25,29,0,12,0,102.45,729.15,300,0,0,0,1,1,0,1.447,3.367,4.111,3,0
34,40,21,23,4,9,1,1,1,5.95,25.75,45.4,16.75,37.7,207.7,805.85,540,0,1,1,1,1,1,1.783,3.248,3.135,4,0
20,25,4,33,4,0,0,1,1,4.55,16,0,19.25,27.05,115.65,288.75,365,0,0,1,0,0,1,1.515,2.773,3.497,1,0
58,36,13,39,2,8,0,1,1,16.4,38.25,0,55.5,57.05,933.1,2355.4,3145,1,1,1,1,1,1,2.797,3.644,3.664,4,1
25,38,19,56,1,19,1,1,1,10.55,0,31.95,32.75,23.65,290.25,0,770,1,0,0,0,1,0,2.356,3.24,4.025,3,0
66,50,2,333,5,24,0,1,0,10.3,0,0,14.25,0,659.55,0,975,0,1,1,0,0,0,2.332,3.24,5.808,2,0
71,48,25,288,3,19,0,1,0,30.9,0,0,19.75,0,2123.6,0,1305,0,0,0,0,0,0,3.431,3.24,5.663,1,0
6,20,0,25,2,0,0,1,0,1.9,20.75,0,15.5,0,19.3,114.4,95,0,0,0,1,1,0,0.642,3.033,3.219,3,0
26,30,4,76,3,7,1,0,0,9.45,0,29.2,0,0,214.7,0,0,0,1,0,0,0,1,2.246,3.24,4.331,1,0
61,52,21,82,1,18,0,1,0,12.1,0,0,15.75,0,751.75,0,910,0,0,0,0,1,0,2.493,3.24,4.407,3,0
57,60,20,14,2,27,0,1,0,16.1,14,0,11.75,0,938.65,822.35,630,0,0,0,1,1,0,2.779,2.639,2.639,3,0
55,44,24,83,1,23,0,1,0,17.35,24.5,0,14.25,0,973.1,1343.5,720,0,0,0,0,1,0,2.854,3.199,4.419,3,0
34,23,3,24,1,7,0,1,0,6,28,0,12.75,0,203.25,959.4,435,0,0,0,1,1,0,1.792,3.332,3.178,3,0
6,32,10,47,1,10,0,1,0,3.85,23.75,0,12.5,0,29.9,128.45,80,0,0,0,1,1,0,1.348,3.168,3.85,3,0
24,30,0,25,4,5,0,1,1,8.7,47.75,0,32.75,64,186.6,1152.9,780,1,1,1,1,1,1,2.163,3.866,3.219,4,1
61,50,16,190,2,22,1,1,1,16.85,0,42.55,26.5,44.1,1063.15,0,1600,0,0,1,0,0,1,2.824,3.24,5.247,2,0