,sepal_length,sepal_width,petal_length,petal_width,species,Clustering Result
0,5.9,3.0,5.1,1.8,Iris-virginica,2
1,6.8,3.0,5.5,2.1,Iris-virginica,2
2,7.7,2.8,6.7,2.0,Iris-virginica,2
3,5.6,2.8,4.9,2.0,Iris-virginica,2
4,6.9,3.2,5.7,2.3,Iris-virginica,2
5,6.0,2.2,5.0,1.5,Iris-virginica,2
6,7.7,2.6,6.9,2.3,Iris-virginica,2
7,7.7,3.8,6.7,2.2,Iris-virginica,2
8,6.5,3.0,5.5,1.8,Iris-virginica,2
9,6.4,3.2,5.3,2.3,Iris-virginica,2
10,5.8,2.8,5.1,2.4,Iris-virginica,2
11,5.7,2.5,5.0,2.0,Iris-virginica,2
12,6.4,2.7,5.3,1.9,Iris-virginica,2
13,6.7,3.3,5.7,2.1,Iris-virginica,2
14,6.5,3.2,5.1,2.0,Iris-virginica,2
15,7.2,3.6,6.1,2.5,Iris-virginica,2
16,6.7,2.5,5.8,1.8,Iris-virginica,2
17,7.3,2.9,6.3,1.8,Iris-virginica,2
18,4.9,2.5,4.5,1.7,Iris-virginica,2
19,7.6,3.0,6.6,2.1,Iris-virginica,2
20,6.5,3.0,5.8,2.2,Iris-virginica,2
21,6.3,2.9,5.6,1.8,Iris-virginica,2
22,7.1,3.0,5.9,2.1,Iris-virginica,2
23,5.8,2.7,5.1,1.9,Iris-virginica,2
24,6.3,2.7,4.9,1.8,Iris-virginica,2
25,7.2,3.2,6.0,1.8,Iris-virginica,2
26,6.4,3.1,5.5,1.8,Iris-virginica,2
27,6.0,3.0,4.8,1.8,Iris-virginica,2
28,6.2,3.4,5.4,2.3,Iris-virginica,2
29,6.5,3.0,5.2,2.0,Iris-virginica,2
30,6.3,2.5,5.0,1.9,Iris-virginica,2
31,6.7,3.0,5.2,2.3,Iris-virginica,2
32,6.7,3.3,5.7,2.5,Iris-virginica,2
33,6.8,3.2,5.9,2.3,Iris-virginica,2
34,5.8,2.7,5.1,1.9,Iris-virginica,2
35,6.9,3.1,5.1,2.3,Iris-virginica,2
36,6.7,3.1,5.6,2.4,Iris-virginica,2
37,6.9,3.1,5.4,2.1,Iris-virginica,2
38,6.3,3.3,6.0,2.5,Iris-virginica,2
39,6.2,2.8,4.8,1.8,Iris-virginica,2
40,6.3,3.4,5.6,2.4,Iris-virginica,2
41,7.7,3.0,6.1,2.3,Iris-virginica,2
42,6.1,2.6,5.6,1.4,Iris-virginica,2
43,6.3,2.8,5.1,1.5,Iris-virginica,2
44,6.4,2.8,5.6,2.2,Iris-virginica,2
45,7.9,3.8,6.4,2.0,Iris-virginica,2
46,7.4,2.8,6.1,1.9,Iris-virginica,2
47,7.2,3.0,5.8,1.6,Iris-virginica,2
48,6.4,2.8,5.6,2.1,Iris-virginica,2
49,6.1,3.0,4.9,1.8,Iris-virginica,2
50,4.9,3.0,1.4,0.2,Iris-setosa,1
51,5.1,3.5,1.4,0.2,Iris-setosa,1
52,5.0,3.3,1.4,0.2,Iris-setosa,1
53,5.0,3.0,1.6,0.2,Iris-setosa,1
54,5.2,3.5,1.5,0.2,Iris-setosa,1
55,5.2,3.4,1.4,0.2,Iris-setosa,1
56,4.7,3.2,1.6,0.2,Iris-setosa,1
57,4.8,3.1,1.6,0.2,Iris-setosa,1
58,5.4,3.4,1.5,0.4,Iris-setosa,1
59,5.2,4.1,1.5,0.1,Iris-setosa,1
60,5.5,4.2,1.4,0.2,Iris-setosa,1
61,4.9,3.1,1.5,0.1,Iris-setosa,1
62,5.0,3.2,1.2,0.2,Iris-setosa,1
63,5.5,3.5,1.3,0.2,Iris-setosa,1
64,4.9,3.1,1.5,0.1,Iris-setosa,1
65,4.4,3.0,1.3,0.2,Iris-setosa,1
66,5.1,3.4,1.5,0.2,Iris-setosa,1
67,5.0,3.5,1.3,0.3,Iris-setosa,1
68,4.5,2.3,1.3,0.3,Iris-setosa,1
69,4.4,3.2,1.3,0.2,Iris-setosa,1
70,5.0,3.5,1.6,0.6,Iris-setosa,1
71,5.1,3.8,1.9,0.4,Iris-setosa,1
72,4.8,3.0,1.4,0.3,Iris-setosa,1
73,5.1,3.8,1.6,0.2,Iris-setosa,1
74,4.6,3.2,1.4,0.2,Iris-setosa,1
75,5.0,3.4,1.6,0.4,Iris-setosa,1
76,4.8,3.4,1.9,0.2,Iris-setosa,1
77,4.8,3.0,1.4,0.1,Iris-setosa,1
78,5.1,3.3,1.7,0.5,Iris-setosa,1
79,4.7,3.2,1.3,0.2,Iris-setosa,1
80,4.6,3.1,1.5,0.2,Iris-setosa,1
81,5.0,3.6,1.4,0.2,Iris-setosa,1
82,5.4,3.9,1.7,0.4,Iris-setosa,1
83,4.6,3.4,1.4,0.3,Iris-setosa,1
84,5.0,3.4,1.5,0.2,Iris-setosa,1
85,4.4,2.9,1.4,0.2,Iris-setosa,1
86,4.9,3.1,1.5,0.1,Iris-setosa,1
87,5.4,3.7,1.5,0.2,Iris-setosa,1
88,4.8,3.4,1.6,0.2,Iris-setosa,1
89,5.3,3.7,1.5,0.2,Iris-setosa,1
90,4.3,3.0,1.1,0.1,Iris-setosa,1
91,5.8,4.0,1.2,0.2,Iris-setosa,1
92,5.7,4.4,1.5,0.4,Iris-setosa,1
93,5.4,3.9,1.3,0.4,Iris-setosa,1
94,5.1,3.5,1.4,0.3,Iris-setosa,1
95,5.7,3.8,1.7,0.3,Iris-setosa,1
96,5.1,3.8,1.5,0.3,Iris-setosa,1
97,5.4,3.4,1.7,0.2,Iris-setosa,1
98,5.1,3.7,1.5,0.4,Iris-setosa,1
99,4.6,3.6,1.0,0.2,Iris-setosa,1
100,5.5,2.3,4.0,1.3,Iris-versicolor,0
101,6.9,3.1,4.9,1.5,Iris-versicolor,0
102,7.0,3.2,4.7,1.4,Iris-versicolor,0
103,5.7,2.8,4.1,1.3,Iris-versicolor,0
104,6.4,2.9,4.3,1.3,Iris-versicolor,0
105,6.1,2.8,4.7,1.2,Iris-versicolor,0
106,6.3,2.5,4.9,1.5,Iris-versicolor,0
107,6.1,2.8,4.0,1.3,Iris-versicolor,0
108,5.9,3.2,4.8,1.8,Iris-versicolor,0
109,5.6,2.5,3.9,1.1,Iris-versicolor,0
110,6.2,2.2,4.5,1.5,Iris-versicolor,0
111,5.8,2.7,4.1,1.0,Iris-versicolor,0
112,5.6,3.0,4.5,1.5,Iris-versicolor,0
113,6.7,3.1,4.4,1.4,Iris-versicolor,0
114,5.6,2.9,3.6,1.3,Iris-versicolor,0
115,6.1,2.9,4.7,1.4,Iris-versicolor,0
116,6.0,2.2,4.0,1.0,Iris-versicolor,0
117,5.9,3.0,4.2,1.5,Iris-versicolor,0
118,5.0,2.0,3.5,1.0,Iris-versicolor,0
119,5.2,2.7,3.9,1.4,Iris-versicolor,0
120,6.6,2.9,4.6,1.3,Iris-versicolor,0
121,4.9,2.4,3.3,1.0,Iris-versicolor,0
122,6.3,3.3,4.7,1.6,Iris-versicolor,0
123,5.7,2.8,4.5,1.3,Iris-versicolor,0
124,6.5,2.8,4.6,1.5,Iris-versicolor,0
125,6.4,3.2,4.5,1.5,Iris-versicolor,0
126,6.8,2.8,4.8,1.4,Iris-versicolor,0
127,6.7,3.0,5.0,1.7,Iris-versicolor,0
128,5.5,2.5,4.0,1.3,Iris-versicolor,0
129,5.1,2.5,3.0,1.1,Iris-versicolor,0
130,6.2,2.9,4.3,1.3,Iris-versicolor,0
131,5.7,2.9,4.2,1.3,Iris-versicolor,0
132,5.7,3.0,4.2,1.2,Iris-versicolor,0
133,5.6,2.7,4.2,1.3,Iris-versicolor,0
134,5.0,2.3,3.3,1.0,Iris-versicolor,0
135,5.8,2.6,4.0,1.2,Iris-versicolor,0
136,6.1,3.0,4.6,1.4,Iris-versicolor,0
137,5.5,2.6,4.4,1.2,Iris-versicolor,0
138,5.6,3.0,4.1,1.3,Iris-versicolor,0
139,6.0,2.9,4.5,1.5,Iris-versicolor,0
140,6.3,2.3,4.4,1.3,Iris-versicolor,0
141,6.7,3.1,4.7,1.5,Iris-versicolor,0
142,6.0,3.4,4.5,1.6,Iris-versicolor,0
143,5.4,3.0,4.5,1.5,Iris-versicolor,0
144,6.0,2.7,5.1,1.6,Iris-versicolor,0
145,5.8,2.7,3.9,1.2,Iris-versicolor,0
146,5.5,2.4,3.7,1.0,Iris-versicolor,0
147,5.5,2.4,3.8,1.1,Iris-versicolor,0
148,5.7,2.6,3.5,1.0,Iris-versicolor,0
149,6.6,3.0,4.4,1.4,Iris-versicolor,0
